#https://en.wikipedia.org/wiki/List_of_scientific_occupations?oldformat=true
#Note: Grouped many "science" into one science category
#Engineering
Aeronautical engineer
Biomedical engineer
Civil engineer
Chemical engineer
Educational technologist
Electrical engineer
Engineering technician
Engineering technologist
Petrochemical engineer
Mechanical engineer
#Physical, natural, earth sciences
Veterinarian
Biologist
Biomedical scientist
Botanist
Herpetologist
Medical laboratory scientist
Microbiologist
Neuroscientist
Clinical pharmaceutical scientist
Zoologist
Physician
Forensic scientist
Gentleman scientist
Government scientist
Healthcare science
Hiwi
Inventor
Psychologist
Research fellow
School science technician
Science attaché
Scientist
Archaeologist
Astronaut
Astronomer
Biochemist
Biologist
Chemist
Ecologist
Forester
Geographer
Naturalist
Oceanographer
Paleontologist
Pathologist
Chemist
Physicist
Geographer
Geologist
Geoprofessions
Petroleum geologist
#Math & statistics
Computational scientist
Mathematician
Demographic marketer
Statistician
#Social science
Anthropologist
Economist
Historian
Political scientist
Sociologist
Urban planner
