#https://www.wikiwand.com/en/Lists_of_sportspeople
#Sports
Archers
Baseball players 
Basketball players
Beach volleyball players
Bellator MMA fighters
Boxers
Bullfighters
Cricketers
Curlers
Cyclists
Dancers
Divers
Disc golf
Fencers
Figure skaters
Football players
Golfers
Grand Prix motorcycle racers
Gymnasts
Heptathletes
Ice hockey players 
Jockeys
Kickboxers
Judoka
Marathon runners
Martial artists
Motocross riders
Orienteers
Polo players
Pro skaters
Race walkers
Roller skaters
Rowers
Rugby union players
Skiers
Speed skaters
Sporting knights and dames
Sprinters
Squash players
Surfers
Swimmers
Synchronised swimmers
Table tennis players
Track and field athletes
Hammer throwers
Javelin throwers
Male hurdlers
Marathoners
Long-distance runners
Middle-distance runners
Sprinters
Racing drivers
Triathletes
Tennis players
UFC fighters
Ultimate disc players
Volleyball players
Water polo players
Wrestlers
