#https://en.wikipedia.org/wiki/List_of_writing_occupations?oldformat=true
#https://en.wikipedia.org/wiki/List_of_theatre_personnel?oldformat=true
#https://en.wikipedia.org/wiki/List_of_film_and_television_occupations?oldformat=true
#https://en.wikipedia.org/wiki/List_of_artistic_occupations?oldformat=true
#Writing
Author
Blogger
Book coach
Commissioning editor
Copy editor
Creative consultant
Dog writer
Freelancer
Ghostwriter
Griot
Hack writer
Infopreneur
Journalist
Literary editor
Manuscript format
Medical writing
Novelist
Poet
Polygraph (author)
Review
Screenwriter
Scribe
Script coordinator
Script doctor
Scrivener
Songwriter
Speechwriter
Staff writer
Technical writer
Website content writer
Writer
#Theater, film, TV, entertainment
Producer
Director
Playwright
Dramaturge
Scenic designer
Scenographer
Lighting designer
Costume designer
Set designer
Sound designer
Composer
Music director
Choreographer
Movement person
Actor
Audio engineer
Backstage
Carpenter and master carpenter
Charge artist
Dancer
Electrician
Front of house manager
Lighting technician
Master electrician
Musician
Paint crew
Playbill writer
Production manager
Property master
Publicist
Sound Engineer
Sound Technician 
Scenic artist
Stagehands
Stage manager
Assistant Stage Manager
Technical director
Theatrical technician
Wardrobe supervisor
Artistic director
Theater manager
Director of production
Music Director
Technical director
Costume director
Marketing director
Director of public relations
Director of audience services
Director of development
Director of special events
Dramaturge
Literary manager
Company manager
House manager
Usher
Ticketing agent
Crew chief
Janitor
Dresser
Stage crew
Fly crew
Light board operator
Spotlight operator
Grips
Call boy
Wardrobe Crew
Animator
Cartoonist
Tweener
Casting director
Cinematographer
Executive producer
Film director
Film producer
Production manager
Screenwriter
Stunt coordinator
Showrunner
Television director
Television producer
Television program creator
Actor
Costume designer
Lighting technician
Make-up artist
News presenter 
Reporter
Newscaster 
Anchorman
Screenwriter
Video editor
Voice actor
Weatherman
Weatherwoman
#Artistic
Accessory designer
Advertising designer
Animator
Architect
Art administrator
Artisan
Arts administration
Art therapist
Baker
Ceramics artist
Chief creative officer
Colorist
Concept Artist
Curator
Dancer
Design director
Design strategist
Essayist
Event planner
Fashion designer
Fine artist
Floral designer
Graphic designer
Hairstylist
Illustrator
Tattoo artist
Interior designer
Jewellery designer
Lyricist
Make-up artist
Marine designer
Media designer
Musician
Party planner
Penciller
Photographer
Photojournalist
Potter
Production designer
Sculptor
Set decorator
Set dresser
Singer
Web designer
Wedding planner
Writer
